trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,14.254339100036304,14.254339100036304,0.028992499981541187,[-0.11916666666666667],[-0.12666666666666668],[1],[0],[0],[4.532735399960075],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
1,0,1,0,5,18.78342100000009,18.78342100000009,0.009857400029432029,[-0.35],[0.21],[1],[0],[0],[2.2717116000130773],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
2,0,2,0,10,21.09271500003524,21.09271500003524,0.02085800003260374,[0.21083333333333334],[0.4216666666666667],[1],[0],[0],[2.3724155999952927],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
3,0,3,0,5,23.473316700023133,23.473316700023133,0.010588699951767921,[-0.335],[0.23583333333333334],[1],[0],[0],[1.7535046000266448],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
4,0,4,0,10,25.25483600003645,25.25483600003645,0.02056940004695207,[-0.3375],[-0.145],[1],[0],[0],[1.7573869000189006],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
5,0,5,0,10,27.036922400002368,27.036922400002368,0.019205700024031103,[-0.14333333333333334],[-0.035833333333333335],[1],[0],[0],[1.744920200027991],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
6,0,6,0,10,28.795684800017625,28.795684800017625,0.020053999964147806,[0.011666666666666667],[-0.09916666666666667],[1],[0],[0],[1.910017499991227],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
7,0,7,0,10,30.731468599988148,30.731468599988148,0.019995299982838333,"[0.24083333333333334, 0.19166666666666668, 0.02]","[0.4608333333333333, 0.49083333333333334, -0.01]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.193925500032492, 5.877165600017179, 7.67753410001751]",['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
8,0,8,0,5,38.41958530002739,38.41958530002739,0.011244399996940047,[0.0075],[-0.445],[1],[0],[0],[2.2528809999930672],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
9,0,9,0,10,40.70748670003377,40.70748670003377,0.023469700012356043,[-0.4925],[-0.20083333333333334],[1],[0],[0],[2.2371255999896675],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
